Target_HDS,Drug_Descriptor,Indication,Publication_Count,News_Count,Geography,Therapy_Area,Count_Trials,Grants,Alliances,Transactions,Total_Amount,Hot/Not
2,11,12,2,0,0,7,0,0,0,0,0,0
2,5,12,0,0,0,7,0,0,0,0,0,0
2,5,12,0,0,0,7,0,0,0,2,67.182,0
2,24,4,0,1,0,8,0,0,1,1,3,0
2,21,17,2,0,0,0,0,1,0,1,0.2556,0
3,24,17,2,0,0,0,1,0,0,0,0,1
1,24,3,2000,0,0,1,0,0,1,1,202.0336,1
1,24,3,2000,0,0,1,1,0,1,1,870.3111,1
3,20,3,54,0,0,1,0,0,0,0,0,1
4,22,2,54,8,0,7,6,0,2,2,700.0238,1
4,20,14,0,0,0,14,0,0,0,2,1005.05,1
1,20,14,0,0,0,14,0,1,0,0,0.2411,1
2,20,16,54,2,0,9,0,1,2,2,286.7449,1
2,20,12,5,0,0,7,0,0,0,0,0,0
2,17,12,0,0,0,7,0,1,2,2,229.3,0
4,12,2,2000,1,0,10,0,0,3,2,2.9767,1
4,22,2,8,0,0,10,0,0,1,1,1120.3,1
2,24,2,0,0,1,10,0,0,0,0,0,0
2,22,2,1,1,0,10,1,0,1,2,20.77,0
2,20,2,3,1,0,10,0,0,2,2,184,0
3,24,17,2,13,0,0,18,0,3,1,426.6,1
2,24,21,0,0,0,10,0,0,0,0,0,0
2,22,21,2,0,0,10,1,0,0,2,0,0
2,9,21,6,0,0,10,1,0,0,0,0,0
2,22,21,0,0,0,10,0,0,0,1,0,0
3,24,21,54,0,0,10,1,0,0,0,0,1
3,24,21,54,0,0,10,1,0,0,0,0,1
3,22,21,54,0,0,10,0,0,1,0,154.5,1
2,18,21,5,0,0,10,0,0,1,1,0.2,0
2,18,21,0,0,0,10,0,0,0,2,204.2658,0
4,20,14,7,0,0,6,0,1,0,0,0.1467,1
4,20,14,7,0,0,6,0,0,0,0,0,1
4,24,14,7,0,0,6,0,0,0,0,0,1
2,20,12,1,0,0,7,0,0,0,0,0,0
3,20,2,40,0,0,10,1,0,1,0,642,1
4,11,7,2000,1,1,11,0,0,2,2,543.12,1
4,24,5,54,0,0,3,0,0,0,0,0,1
2,24,12,7,0,0,7,0,0,1,0,0,0
2,11,12,1,0,0,7,1,0,1,0,9.72,0
2,11,2,0,0,1,10,0,0,0,0,0,0
2,3,12,6,0,0,7,0,1,0,1,5.0387,0
2,22,2,2,0,0,10,1,0,0,2,0,0
4,12,2,2000,1,0,10,0,0,3,2,2.9767,1
2,22,2,0,0,0,10,0,0,0,0,0,0
2,20,2,9,0,0,10,0,0,0,0,0,0
3,20,2,26,19,0,10,4,0,2,4,504.29,1
4,20,2,54,1,0,10,3,0,2,1,4546.12,1
3,24,2,54,0,0,10,1,0,0,0,0,1
3,13,2,54,1,0,10,0,0,0,0,0,1
3,24,2,54,0,0,10,1,0,0,0,0,1
3,12,2,10,1,0,10,0,1,1,1,50.2953,1
2,24,2,2,3,1,10,2,0,1,1,20,0
2,20,2,2,0,0,10,0,0,2,0,75.312,0
2,20,2,2,0,0,10,0,0,2,0,75.312,0
3,22,26,2000,3,0,10,5,0,2,0,0,1
2,22,2,0,1,0,10,0,0,0,0,0,0
2,22,2,0,0,0,10,0,0,0,0,0,0
3,12,2,10,1,0,10,0,1,1,1,50.2953,1
2,20,2,1,0,0,10,0,0,0,0,0,0
4,22,2,54,8,0,10,6,0,2,2,700.0238,1
3,22,2,54,3,0,10,4,0,1,1,497.9319,1
4,22,2,54,3,0,10,4,0,1,1,497.9319,1
3,20,2,54,0,0,10,1,0,0,0,0,1
3,22,2,54,0,0,10,0,0,0,0,0,1
4,22,2,4,0,0,10,0,0,0,0,0,1
2,22,2,0,0,0,10,1,0,0,0,0,0
4,13,2,7,0,0,10,10,0,2,0,2331,1
3,20,2,54,1,0,10,0,0,0,0,0,1
3,20,2,2000,0,1,10,4,0,1,0,0,1
2,9,2,2,0,0,10,3,0,0,0,0,0
2,9,2,2,0,0,10,2,0,0,0,0,0
2,9,2,2,0,0,10,1,0,0,0,0,0
2,13,2,0,0,0,10,1,0,0,0,0,0
2,4,2,0,0,0,10,0,0,0,0,0,0
3,20,2,54,5,0,10,9,0,3,1,1912.8,1
4,20,2,54,1,0,10,3,0,2,1,4546.12,1
3,22,2,2000,3,0,10,5,0,2,0,0,1
0,5,2,2000,11,0,10,7,0,0,2,111.16,1
3,20,2,54,5,0,10,9,0,3,1,1912.8,1
0,5,2,2000,11,0,10,7,0,0,2,111.16,1
2,3,21,4,0,0,7,0,0,1,2,31.1449,0
2,3,21,0,4,0,7,0,0,0,2,207.8579,0
3,16,17,2,0,0,0,1,0,1,1,406.6,1
4,24,9,2000,0,0,4,0,0,0,0,0,1
4,24,9,2000,0,0,4,0,1,2,2,1762.6962,1
4,24,9,2000,0,0,4,0,0,0,0,0,1
2,20,23,9,0,0,10,0,0,0,0,0,0
3,20,23,26,19,0,10,4,0,2,4,504.29,1
3,20,23,40,0,0,10,1,0,1,0,642,1
4,22,23,54,8,0,10,6,0,2,2,700.0238,1
3,12,23,10,1,0,10,0,1,1,1,50.2953,1
4,22,23,2000,1,0,10,1,0,1,2,215.68,1
3,12,23,2000,3,0,10,3,0,2,1,39066.87,1
3,12,23,2000,1,0,10,0,0,0,2,446.25,1
4,24,17,2000,0,0,0,1,1,1,2,22.6116,1
2,24,17,0,0,0,0,0,0,0,0,0,0
2,14,17,5,0,0,0,0,0,2,1,1.75,0
4,24,17,2000,3,1,0,0,1,1,0,0.5867,1
3,6,17,2000,0,0,0,0,0,1,2,2795.005,1
2,6,17,6,1,0,0,1,0,0,1,30.0642,0
2,24,17,6,0,0,0,1,0,0,1,30.0642,0
2,6,17,2000,7,0,0,0,0,3,3,183.905,1
2,24,16,54,0,0,9,0,0,1,0,0,1
2,24,16,54,0,0,9,0,0,1,0,0,1
2,24,16,54,0,0,9,0,0,1,0,0,1
2,24,16,54,0,0,9,0,0,1,0,0,1
2,24,16,54,0,0,9,0,0,1,0,0,1
2,3,12,0,0,0,7,0,0,0,0,0,0
3,7,24,2000,2,1,10,2,0,0,2,949.3,1
3,20,24,2000,0,1,10,4,0,1,0,0,1
3,20,1,26,19,0,10,4,0,2,4,504.29,1
3,22,1,2000,3,0,10,5,0,2,0,0,1
3,20,2,26,19,0,10,4,0,2,4,504.29,1
3,22,2,54,0,0,10,0,0,0,0,0,1
3,20,1,26,19,0,10,4,0,2,4,504.29,1
2,24,3,0,0,0,1,0,0,0,0,0,0
2,24,16,1,0,0,9,0,0,0,0,0,0
2,20,16,1,0,0,9,0,1,0,1,20.3367,0
2,20,12,0,0,0,7,0,0,0,0,0,0
2,23,12,6,0,0,7,1,0,0,0,0,0
4,6,13,2000,0,0,4,0,1,1,3,638.2242,1
3,22,7,54,0,0,11,1,0,1,1,2.2,1
4,20,2,412,0,0,10,0,0,0,1,7.34,1
2,22,2,0,0,0,10,0,0,0,1,0,0
2,22,17,0,0,0,0,0,0,1,0,0,0
2,24,17,3,0,0,0,0,0,0,0,0,0
3,24,17,2,0,0,0,0,0,0,0,0,1
3,22,17,54,0,0,0,0,0,0,0,0,1
3,24,17,2,13,0,0,18,0,3,1,426.6,1
3,24,17,2,13,0,0,18,0,3,1,426.6,1
3,16,17,2,0,0,0,0,0,1,1,406.6,1
3,16,17,2,0,0,0,0,0,0,0,0,1
2,11,17,0,0,0,0,0,0,1,1,71.5195,0
3,24,15,54,0,0,3,0,0,2,2,703.5,1
2,13,2,3,0,0,10,0,1,2,0,2331.2438,1
4,22,2,8,0,0,10,0,0,0,0,0,1
2,9,2,2,0,0,10,3,0,0,0,0,0
2,10,2,0,0,1,10,4,0,0,0,0,0
3,20,2,54,5,0,10,9,0,3,1,1912.8,1
4,22,2,54,8,0,10,6,0,2,2,700.0238,1
3,19,2,54,0,0,10,1,0,0,0,0,1
3,19,2,54,0,0,10,1,0,0,0,0,1
2,24,2,2,3,1,10,2,0,1,1,20,0
3,20,2,1,1,0,10,3,0,1,0,169800,1
2,20,2,1306,0,0,10,0,0,1,1,383.4935,1
2,24,18,1,0,0,8,0,0,0,0,0,0
2,21,18,0,0,0,8,0,0,0,0,0,0
2,24,18,0,0,0,8,0,0,0,0,0,0
2,21,18,0,0,0,8,0,0,0,0,0,0
2,24,18,0,0,0,8,0,0,1,0,0,0
2,18,18,0,0,0,8,0,0,0,1,0.48,0
2,24,18,0,1,0,8,0,0,1,1,3,0
2,14,18,0,0,0,8,0,0,2,1,34,0
1,20,18,4,0,0,8,0,0,0,0,0,1
2,24,17,0,0,1,0,2,0,0,0,0,0
2,11,23,3,0,0,9,0,0,0,0,0,0
4,22,23,8,0,0,9,0,0,0,0,0,1
2,24,23,0,0,0,9,0,0,1,1,9.2,0
2,20,23,0,0,0,9,0,0,1,1,217.75,0
2,22,2,0,0,0,10,0,0,0,0,0,0
0,20,2,1,0,0,10,2,0,2,0,169800,1
0,18,2,293,0,1,10,0,0,0,1,2.47,1
4,13,2,7,0,1,10,10,0,2,0,2331,1
4,0,2,7,0,1,10,0,0,1,1,57.66,1
4,0,2,7,0,0,10,0,0,1,1,57.66,1
3,20,2,54,5,0,10,9,0,3,1,1912.8,1
3,24,2,54,0,0,10,1,0,0,0,0,1
3,24,2,54,0,0,10,1,0,0,0,0,1
2,18,2,5,0,1,10,0,0,1,1,0.2,0
4,22,2,2000,0,0,10,0,0,1,0,4000,1
2,24,2,2,3,1,10,2,0,1,1,20,0
2,20,2,2,4,0,10,0,0,1,2,51.1752,0
3,20,2,1,1,0,10,3,0,1,0,169800,1
2,9,2,54,1,0,10,0,0,1,1,405.2864,1
2,24,17,0,0,0,0,0,0,0,1,0.77,0
2,24,17,0,0,0,0,0,0,0,1,0.77,0
